New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Telford,"105,000","43,300",,21.2%,9.9%,14.5%,19.7%,18.9%,15.9%,,88.9%,0.3%,5.8%,2.2%,2.3%,0.4%,0.1%,,83.8%,5.3%,4.2%,3.3%,2.7%,0.8%,,44.8%,45.1%,0.3%,0.9%,0.0%,1.3%,1.7%,0.5%,5.4%,,26.8%,29.7%,22.7%,19.8%,1.0%
Tewkesbury,"96,600","41,600",,18.1%,8.4%,12.0%,18.8%,20.5%,22.2%,,90.5%,0.4%,4.6%,1.2%,2.4%,0.7%,0.3%,,88.5%,5.3%,3.1%,0.7%,1.8%,0.6%,,40.3%,50.7%,0.4%,1.0%,0.1%,0.9%,0.2%,0.4%,6.0%,,40.0%,31.7%,14.8%,11.5%,2.0%
The Wrekin,"108,000","43,600",,17.4%,11.4%,12.0%,18.4%,20.7%,20.2%,,89.7%,0.4%,4.7%,1.4%,3.2%,0.4%,0.2%,,84.5%,4.5%,5.7%,1.9%,2.3%,1.1%,,36.0%,52.0%,0.4%,0.5%,0.1%,3.7%,1.3%,0.4%,5.8%,,35.5%,30.2%,18.4%,15.0%,0.8%
Thirsk and Malton,"96,800","43,600",,15.2%,7.9%,10.2%,15.7%,23.4%,27.7%,,94.9%,0.3%,2.9%,0.5%,0.7%,0.4%,0.3%,,95.2%,2.8%,0.6%,0.2%,0.8%,0.3%,,34.7%,58.3%,0.2%,0.1%,0.0%,0.2%,0.0%,0.4%,5.9%,,43.5%,23.2%,19.8%,12.5%,1.0%
Thornbury and Yate,"98,200","40,000",,17.6%,8.8%,11.7%,17.9%,21.5%,22.6%,,93.8%,0.4%,2.9%,0.9%,1.2%,0.5%,0.2%,,92.5%,3.6%,1.3%,0.6%,1.6%,0.5%,,44.7%,47.7%,0.3%,0.2%,0.1%,0.6%,0.1%,0.4%,5.9%,,42.8%,35.4%,12.2%,8.7%,0.9%
Thurrock,"121,000","45,100",,23.6%,10.0%,15.5%,22.8%,16.9%,11.1%,,73.6%,0.5%,12.9%,7.1%,4.9%,1.0%,0.1%,,57.9%,13.3%,8.8%,14.8%,3.3%,1.9%,,31.9%,52.3%,0.5%,1.7%,0.1%,6.3%,1.4%,0.6%,5.2%,,20.9%,38.2%,20.7%,19.3%,0.9%
Tipton and Wednesbury,"114,000","44,300",,22.2%,10.7%,13.8%,19.7%,18.6%,15.0%,,83.2%,0.1%,5.4%,2.0%,8.2%,1.1%,0.0%,,65.8%,4.8%,17.1%,6.5%,3.6%,2.3%,,31.2%,45.1%,0.2%,2.2%,0.0%,7.7%,7.7%,0.6%,5.2%,,25.9%,25.3%,15.1%,32.7%,1.0%
Tiverton and Minehead,"91,200","40,600",,15.6%,8.0%,9.2%,15.7%,22.7%,28.7%,,94.2%,0.4%,3.0%,0.8%,0.9%,0.5%,0.3%,,94.6%,3.5%,0.6%,0.1%,1.0%,0.2%,,42.2%,49.9%,0.3%,0.1%,0.1%,0.2%,0.0%,0.6%,6.5%,,43.6%,23.2%,18.6%,13.8%,0.9%
Tonbridge,"97,200","39,700",,19.2%,8.8%,10.2%,19.2%,21.0%,21.5%,,90.5%,0.5%,3.6%,1.6%,2.6%,0.8%,0.5%,,88.0%,5.3%,3.1%,0.7%,2.3%,0.6%,,41.1%,50.1%,0.3%,0.9%,0.2%,1.0%,0.2%,0.4%,5.7%,,37.9%,32.1%,13.5%,14.5%,2.0%
Tooting,"107,000","43,300",,16.4%,10.6%,26.7%,22.2%,14.6%,9.6%,,65.9%,1.8%,11.2%,6.2%,8.5%,5.0%,1.6%,,50.1%,16.4%,14.0%,10.0%,6.1%,3.3%,,37.1%,40.5%,0.6%,3.2%,0.5%,10.6%,0.4%,0.5%,6.7%,,18.3%,28.2%,36.0%,16.3%,1.2%
Torbay,"104,000","47,500",,16.0%,8.4%,11.0%,16.8%,22.0%,25.8%,,92.0%,0.4%,4.3%,0.9%,1.9%,0.5%,0.2%,,91.1%,4.6%,1.9%,0.4%,1.6%,0.5%,,43.4%,48.2%,0.4%,0.2%,0.1%,0.6%,0.0%,0.6%,6.4%,,36.9%,24.9%,29.5%,7.8%,0.9%
Torfaen,"92,300","40,300",,18.6%,9.2%,13.1%,17.6%,20.7%,20.8%,,96.4%,0.3%,1.4%,0.4%,1.2%,0.2%,0.1%,,95.2%,1.9%,1.3%,0.2%,1.1%,0.3%,,50.8%,41.5%,0.3%,0.3%,0.0%,0.4%,0.1%,0.5%,6.1%,,34.7%,29.7%,11.2%,23.8%,0.7%
Torridge and Tavistock,"95,500","42,300",,15.2%,7.7%,9.4%,15.2%,23.8%,28.7%,,95.8%,0.3%,1.8%,0.7%,0.8%,0.4%,0.2%,,95.9%,2.2%,0.5%,0.1%,0.9%,0.2%,,42.6%,49.4%,0.3%,0.1%,0.1%,0.2%,0.0%,0.7%,6.6%,,46.3%,24.0%,19.4%,9.4%,0.9%
Tottenham,"136,000","51,800",,19.7%,11.9%,20.5%,23.2%,16.0%,8.7%,,49.3%,1.0%,23.9%,9.8%,6.4%,9.1%,0.5%,,23.2%,23.8%,9.5%,24.7%,6.9%,11.8%,,25.2%,41.0%,0.9%,1.1%,4.4%,15.9%,0.4%,2.7%,8.4%,,12.3%,14.9%,36.9%,33.0%,2.9%
Truro and Falmouth,"94,900","40,800",,15.3%,13.2%,11.3%,16.9%,19.6%,23.7%,,93.1%,0.3%,2.9%,1.1%,1.6%,0.7%,0.3%,,91.3%,3.9%,1.4%,0.4%,1.7%,1.2%,,47.6%,43.7%,0.4%,0.2%,0.1%,0.5%,0.0%,0.8%,6.7%,,40.3%,24.5%,21.0%,12.8%,1.3%
Tunbridge Wells,"105,000","44,400",,19.8%,8.3%,11.5%,20.9%,20.5%,19.0%,,86.1%,0.5%,5.9%,2.1%,3.8%,1.1%,0.6%,,83.7%,7.6%,4.2%,1.0%,2.6%,1.0%,,40.6%,49.3%,0.4%,1.0%,0.2%,1.7%,0.1%,0.5%,6.2%,,33.4%,31.6%,19.6%,14.4%,1.1%
Twickenham,"107,000","44,000",,20.0%,8.9%,11.1%,23.8%,20.3%,15.9%,,74.4%,1.4%,10.2%,3.4%,6.6%,2.8%,1.2%,,65.9%,15.2%,9.0%,2.0%,5.1%,2.7%,,39.4%,44.7%,0.7%,2.2%,0.4%,4.2%,1.3%,0.6%,6.6%,,30.8%,33.8%,23.3%,11.2%,0.9%
Tynemouth,"95,200","43,800",,17.5%,8.1%,10.7%,19.8%,21.5%,22.4%,,94.6%,0.3%,2.0%,0.7%,1.8%,0.4%,0.2%,,92.7%,2.5%,2.4%,0.5%,1.5%,0.5%,,45.9%,46.8%,0.3%,0.2%,0.1%,1.3%,0.2%,0.4%,4.8%,,36.4%,30.4%,16.3%,16.5%,0.4%
Uxbridge and South Ruislip,"118,000","43,200",,20.1%,12.9%,14.7%,22.1%,16.9%,13.2%,,67.2%,1.5%,10.1%,4.9%,14.5%,1.6%,0.3%,,44.9%,12.5%,25.5%,6.7%,5.0%,5.3%,,23.9%,43.0%,0.9%,8.4%,0.2%,12.2%,4.5%,0.7%,6.2%,,27.6%,32.2%,24.5%,14.4%,1.4%
Vale of Glamorgan,"94,400","41,000",,18.7%,9.1%,12.1%,18.3%,20.8%,21.1%,,94.9%,0.3%,1.9%,0.6%,1.5%,0.5%,0.2%,,93.0%,2.2%,1.8%,0.4%,2.1%,0.5%,,49.0%,43.3%,0.3%,0.2%,0.1%,0.8%,0.1%,0.5%,5.7%,,36.9%,33.6%,16.0%,13.2%,0.3%
Vauxhall and Camberwell Green,"103,000","45,800",,14.2%,14.0%,25.0%,20.9%,17.0%,8.9%,,56.0%,1.2%,14.0%,11.6%,6.9%,9.3%,1.1%,,31.3%,17.7%,8.6%,27.8%,7.6%,7.0%,,34.6%,45.3%,1.0%,0.9%,0.4%,9.5%,0.2%,0.7%,7.4%,,9.0%,14.4%,28.8%,45.1%,2.6%
Wakefield and Rothwell,"106,000","45,200",,19.0%,9.2%,14.2%,20.3%,19.8%,17.5%,,86.6%,0.3%,6.5%,1.8%,4.3%,0.3%,0.1%,,79.9%,6.5%,7.8%,2.3%,2.0%,1.5%,,39.2%,45.8%,0.3%,0.7%,0.1%,7.6%,0.2%,0.4%,5.6%,,29.6%,30.0%,16.4%,23.2%,0.8%
Wallasey,"96,400","43,200",,18.4%,8.8%,12.5%,17.9%,21.6%,20.8%,,95.4%,0.4%,1.8%,0.5%,1.4%,0.4%,0.1%,,93.4%,2.3%,1.8%,0.4%,1.6%,0.5%,,40.5%,52.0%,0.3%,0.4%,0.1%,0.8%,0.1%,0.4%,5.5%,,33.8%,29.2%,22.1%,14.3%,0.6%
Walsall and Bloxwich,"117,000","44,100",,23.7%,11.8%,14.2%,19.5%,16.8%,14.0%,,78.0%,0.2%,6.1%,3.0%,11.8%,0.9%,0.0%,,53.4%,5.3%,28.8%,6.5%,3.4%,2.6%,,26.5%,38.0%,0.2%,2.3%,0.0%,21.9%,5.2%,0.5%,5.4%,,25.7%,22.4%,20.7%,30.6%,0.6%
Walthamstow,"122,000","45,300",,20.9%,9.7%,19.6%,26.6%,15.2%,8.0%,,59.3%,0.8%,18.3%,6.4%,10.2%,4.3%,0.7%,,31.0%,19.4%,21.6%,15.4%,6.5%,6.0%,,30.0%,35.1%,0.7%,2.2%,0.4%,23.3%,0.3%,0.8%,7.2%,,16.3%,29.0%,30.1%,22.3%,2.3%
Warrington North,"96,600","41,800",,17.8%,9.3%,12.9%,19.3%,21.6%,19.2%,,90.8%,0.4%,5.6%,0.8%,1.8%,0.4%,0.2%,,88.7%,5.9%,2.4%,0.8%,1.5%,0.8%,,35.1%,56.8%,0.3%,0.4%,0.1%,1.4%,0.1%,0.4%,5.3%,,34.3%,30.7%,14.4%,19.8%,0.8%
Warrington South,"102,000","43,400",,18.2%,9.0%,12.9%,20.5%,20.8%,18.5%,,90.0%,0.4%,5.0%,0.9%,3.0%,0.5%,0.2%,,87.2%,5.2%,4.3%,0.8%,1.6%,1.0%,,33.9%,56.7%,0.3%,1.0%,0.1%,2.2%,0.3%,0.3%,5.2%,,35.3%,35.7%,16.3%,11.9%,0.8%
Warwick and Leamington,"105,000","45,000",,17.4%,12.4%,15.3%,20.4%,17.7%,16.8%,,81.4%,1.0%,7.8%,1.5%,6.7%,1.4%,0.3%,,72.1%,10.0%,11.5%,1.1%,3.3%,2.0%,,40.9%,41.7%,0.4%,3.1%,0.2%,1.7%,5.5%,0.6%,6.0%,,29.6%,30.7%,21.2%,16.8%,1.7%
Washington and Gateshead South,"94,600","41,900",,18.3%,9.2%,12.0%,18.6%,20.9%,21.1%,,96.4%,0.1%,1.7%,0.5%,1.1%,0.1%,0.1%,,95.3%,1.6%,1.4%,0.4%,0.9%,0.4%,,42.2%,51.8%,0.1%,0.2%,0.0%,0.7%,0.4%,0.3%,4.2%,,30.4%,26.8%,12.3%,30.0%,0.4%
Watford,"110,000","42,700",,20.8%,9.5%,16.0%,23.9%,17.1%,12.7%,,66.8%,1.2%,12.5%,4.8%,12.8%,1.8%,0.2%,,46.7%,14.9%,24.0%,6.2%,4.7%,3.5%,,25.0%,44.3%,1.0%,8.3%,1.3%,12.4%,0.6%,0.9%,6.1%,,24.5%,31.4%,27.5%,15.5%,1.1%
Waveney Valley,"88,200","39,400",,14.8%,7.6%,9.0%,16.0%,23.3%,29.2%,,94.6%,0.2%,2.6%,0.7%,1.0%,0.6%,0.3%,,94.6%,3.1%,0.8%,0.3%,1.0%,0.3%,,41.7%,50.9%,0.2%,0.1%,0.1%,0.3%,0.0%,0.6%,6.0%,,46.7%,25.2%,14.5%,12.6%,1.0%
Weald of Kent,"92,800","38,300",,17.5%,8.3%,9.4%,16.8%,22.7%,25.2%,,92.8%,0.5%,2.9%,1.3%,1.4%,0.7%,0.4%,,91.0%,4.8%,1.4%,0.8%,1.7%,0.4%,,38.6%,53.8%,0.3%,0.3%,0.1%,0.5%,0.1%,0.4%,5.8%,,42.6%,31.5%,12.9%,11.3%,1.8%
Wellingborough and Rushden,"112,000","47,100",,19.5%,9.5%,13.3%,20.1%,19.5%,18.0%,,82.7%,0.5%,10.2%,2.8%,2.6%,1.0%,0.1%,,76.1%,10.5%,5.1%,4.4%,3.1%,0.8%,,42.7%,45.9%,0.3%,2.6%,0.1%,1.8%,0.3%,0.7%,5.7%,,31.2%,31.7%,18.8%,17.0%,1.3%
Wells and Mendip Hills,"88,600","38,000",,16.1%,8.4%,9.3%,16.3%,23.2%,26.7%,,93.4%,0.4%,3.2%,0.9%,1.1%,0.6%,0.3%,,93.3%,3.9%,0.9%,0.2%,1.3%,0.3%,,41.5%,50.7%,0.3%,0.1%,0.1%,0.2%,0.0%,0.7%,6.4%,,45.9%,29.5%,14.5%,9.0%,1.1%
Welwyn Hatfield,"114,000","43,900",,18.8%,14.7%,13.6%,20.0%,17.8%,15.2%,,77.5%,0.8%,9.4%,4.5%,6.2%,1.2%,0.3%,,66.9%,11.5%,9.1%,6.2%,4.2%,2.2%,,37.5%,46.6%,0.8%,3.3%,0.9%,3.3%,0.4%,0.7%,6.7%,,26.4%,28.8%,16.7%,26.4%,1.7%
West Bromwich,"111,000","42,800",,21.2%,10.9%,13.8%,20.6%,18.1%,15.4%,,75.8%,0.3%,6.1%,2.5%,13.5%,1.7%,0.0%,,49.2%,5.2%,28.4%,8.6%,4.2%,4.3%,,23.9%,39.9%,0.3%,4.0%,0.0%,11.7%,13.9%,0.9%,5.4%,,30.2%,27.2%,18.3%,23.3%,0.9%
West Dorset,"93,600","43,300",,14.5%,7.7%,8.3%,14.4%,23.1%,32.1%,,93.1%,0.4%,2.5%,1.1%,1.8%,0.7%,0.4%,,93.5%,3.3%,1.4%,0.3%,1.2%,0.3%,,38.4%,52.7%,0.5%,0.2%,0.1%,0.5%,0.0%,0.7%,6.9%,,47.3%,20.2%,17.0%,14.2%,1.2%
West Ham and Beckton,"137,000","49,200",,20.1%,12.7%,22.1%,23.5%,14.6%,6.9%,,47.8%,0.4%,21.1%,10.4%,16.0%,4.1%,0.2%,,18.8%,19.6%,28.2%,22.6%,5.7%,5.0%,,17.7%,44.9%,0.8%,3.2%,0.1%,25.1%,0.8%,0.5%,6.8%,,9.3%,17.5%,36.0%,34.2%,3.0%
West Lancashire,"100,000","41,200",,16.5%,14.2%,10.6%,16.7%,20.9%,21.1%,,93.8%,0.4%,3.9%,0.5%,1.0%,0.3%,0.1%,,92.5%,4.3%,1.1%,0.4%,1.4%,0.4%,,32.3%,60.7%,0.2%,0.2%,0.1%,0.5%,0.1%,0.3%,5.7%,,37.5%,31.4%,14.3%,15.7%,1.0%
West Suffolk,"118,000","50,700",,18.4%,10.0%,14.8%,18.9%,18.8%,19.1%,,80.7%,0.6%,6.5%,1.2%,2.3%,8.4%,0.3%,,79.7%,11.1%,2.7%,2.0%,3.0%,1.5%,,42.6%,48.2%,0.4%,0.4%,0.1%,1.3%,0.1%,0.5%,6.4%,,31.4%,27.8%,23.6%,15.9%,1.3%
West Worcestershire,"98,200","43,400",,15.4%,8.2%,9.0%,15.6%,23.4%,28.4%,,94.4%,0.3%,2.4%,0.9%,1.2%,0.5%,0.3%,,93.7%,3.1%,1.2%,0.3%,1.3%,0.3%,,37.5%,54.9%,0.3%,0.2%,0.1%,0.4%,0.1%,0.5%,6.1%,,45.3%,25.8%,13.2%,14.4%,1.3%
Westmorland and Lonsdale,"90,900","41,500",,13.8%,7.9%,9.8%,16.5%,24.0%,28.0%,,93.8%,0.3%,3.6%,0.7%,0.8%,0.6%,0.2%,,93.7%,4.1%,0.7%,0.2%,1.0%,0.3%,,36.9%,55.5%,0.4%,0.1%,0.1%,0.3%,0.0%,0.5%,6.3%,,47.1%,23.1%,18.1%,11.0%,0.8%
Weston-super-Mare,"96,900","43,100",,17.7%,9.1%,12.7%,18.8%,20.1%,21.6%,,89.6%,0.4%,6.6%,1.1%,1.7%,0.4%,0.2%,,88.1%,6.9%,1.9%,0.7%,1.6%,0.7%,,46.6%,44.6%,0.3%,0.2%,0.1%,0.8%,0.0%,0.6%,6.7%,,33.2%,31.1%,24.0%,10.9%,0.8%
Wetherby and Easingwold,"91,500","39,000",,17.1%,7.7%,9.1%,17.7%,23.0%,25.5%,,94.9%,0.4%,2.0%,0.8%,1.2%,0.5%,0.2%,,93.3%,2.6%,1.7%,0.6%,1.4%,0.4%,,33.4%,58.8%,0.3%,0.3%,0.7%,0.6%,0.4%,0.3%,5.3%,,44.1%,31.6%,13.3%,9.9%,1.0%
Whitehaven and Workington,"93,000","43,000",,17.1%,8.7%,11.9%,17.1%,22.8%,22.4%,,97.2%,0.2%,1.2%,0.4%,0.8%,0.2%,0.1%,,96.9%,1.3%,0.7%,0.2%,0.6%,0.3%,,29.8%,63.9%,0.2%,0.1%,0.0%,0.4%,0.0%,0.3%,5.3%,,39.9%,28.7%,10.7%,20.2%,0.4%
Widnes and Halewood,"92,400","39,700",,18.7%,9.5%,12.7%,18.7%,21.6%,18.7%,,95.6%,0.3%,2.3%,0.4%,1.0%,0.3%,0.1%,,93.4%,2.7%,1.3%,0.4%,1.6%,0.5%,,28.9%,64.8%,0.2%,0.3%,0.0%,0.6%,0.1%,0.3%,4.8%,,32.7%,32.2%,13.6%,20.8%,0.8%
Wigan,"105,000","45,900",,18.4%,9.4%,13.5%,18.9%,20.7%,19.0%,,92.6%,0.2%,3.8%,1.1%,1.9%,0.3%,0.1%,,90.8%,3.9%,1.9%,1.2%,1.3%,0.9%,,28.9%,63.8%,0.2%,0.4%,0.0%,1.5%,0.0%,0.3%,4.8%,,33.1%,29.2%,16.4%,20.7%,0.7%
Wimbledon,"110,000","43,800",,19.4%,7.9%,16.0%,24.9%,17.2%,14.6%,,61.9%,1.4%,13.1%,5.5%,12.9%,3.9%,1.3%,,49.7%,19.1%,17.5%,3.5%,5.8%,4.4%,,31.7%,46.3%,1.0%,5.0%,0.5%,7.5%,0.4%,0.6%,7.0%,,29.3%,31.7%,29.5%,8.9%,0.7%
Winchester,"105,000","42,400",,17.6%,13.1%,9.8%,18.3%,19.9%,21.3%,,88.4%,0.4%,4.4%,1.7%,3.3%,1.2%,0.6%,,87.5%,5.8%,3.3%,0.6%,2.2%,0.7%,,41.6%,49.0%,0.7%,0.8%,0.2%,0.8%,0.1%,0.5%,6.3%,,36.7%,28.4%,17.4%,16.2%,1.2%
Windsor,"111,000","41,900",,19.3%,13.2%,11.0%,20.7%,19.6%,16.3%,,73.9%,0.9%,9.3%,3.9%,9.1%,2.3%,0.7%,,61.3%,12.1%,16.8%,2.9%,3.9%,3.0%,,28.4%,48.0%,0.6%,3.8%,0.3%,6.7%,4.9%,0.5%,6.8%,,29.8%,30.6%,23.2%,15.6%,0.8%
Wirral West,"87,900","38,700",,16.3%,7.7%,8.9%,16.7%,22.2%,28.1%,,95.3%,0.5%,1.5%,0.6%,1.4%,0.5%,0.2%,,93.9%,2.4%,1.7%,0.3%,1.4%,0.4%,,32.2%,60.9%,0.3%,0.4%,0.1%,0.5%,0.0%,0.3%,5.2%,,47.7%,32.0%,11.5%,8.3%,0.4%
Witham,"102,000","42,700",,18.2%,8.6%,12.1%,18.7%,20.5%,22.0%,,93.5%,0.4%,2.8%,1.2%,1.4%,0.5%,0.2%,,90.9%,3.6%,1.8%,1.3%,1.9%,0.6%,,43.4%,48.7%,0.3%,0.5%,0.2%,0.6%,0.1%,0.4%,5.7%,,37.3%,34.8%,13.1%,14.0%,0.7%
Witney,"97,200","40,300",,18.6%,8.7%,13.0%,19.4%,20.7%,19.7%,,89.4%,0.4%,5.1%,1.7%,1.8%,1.1%,0.5%,,88.9%,5.9%,1.7%,0.9%,1.9%,0.7%,,41.3%,50.9%,0.3%,0.3%,0.1%,0.8%,0.1%,0.5%,5.7%,,34.6%,30.7%,18.5%,13.8%,2.4%
Woking,"104,000","41,400",,20.2%,8.7%,13.2%,22.8%,18.6%,16.6%,,75.8%,0.7%,8.6%,3.7%,8.6%,2.0%,0.5%,,67.3%,11.2%,14.2%,1.8%,3.5%,2.1%,,33.3%,47.6%,0.6%,2.4%,0.2%,9.4%,0.3%,0.5%,5.8%,,32.0%,34.5%,21.1%,11.5%,0.9%
Wokingham,"98,200","39,200",,20.6%,8.2%,10.7%,22.1%,19.9%,18.5%,,84.3%,0.6%,5.1%,3.1%,5.1%,1.3%,0.5%,,79.2%,7.2%,7.6%,1.8%,3.0%,1.2%,,38.5%,48.0%,0.4%,3.0%,0.3%,2.4%,1.1%,0.4%,5.8%,,36.7%,38.7%,14.0%,8.3%,2.2%
Wolverhampton North East,"105,000","42,300",,21.3%,10.3%,13.7%,18.8%,18.9%,16.9%,,83.7%,0.3%,5.0%,3.1%,6.4%,1.3%,0.1%,,67.8%,4.7%,11.5%,8.7%,5.0%,2.4%,,32.7%,48.6%,0.2%,1.5%,0.0%,3.1%,7.5%,0.6%,5.7%,,30.5%,26.0%,15.1%,27.8%,0.7%
Wolverhampton South East,"120,000","46,600",,23.2%,10.6%,14.4%,20.3%,17.2%,14.3%,,79.1%,0.2%,6.2%,2.9%,10.3%,1.3%,0.0%,,58.0%,5.2%,20.7%,8.0%,5.3%,2.8%,,30.9%,41.7%,0.3%,3.5%,0.0%,5.4%,11.6%,1.3%,5.3%,,25.4%,24.0%,18.6%,31.3%,0.8%
Wolverhampton West,"113,000","45,200",,19.3%,10.6%,13.0%,20.3%,18.9%,17.9%,,74.6%,0.4%,7.0%,3.5%,12.8%,1.6%,0.1%,,48.9%,6.4%,27.0%,8.4%,4.9%,4.5%,,24.0%,41.7%,0.4%,4.7%,0.0%,8.2%,14.4%,1.3%,5.3%,,33.5%,25.9%,22.1%,17.7%,0.9%
Worcester,"104,000","44,700",,17.6%,12.1%,14.0%,19.3%,19.4%,17.6%,,87.2%,0.3%,7.0%,1.2%,3.4%,0.6%,0.2%,,82.7%,7.3%,5.6%,1.2%,2.2%,1.0%,,39.5%,48.9%,0.4%,0.4%,0.0%,4.1%,0.2%,0.4%,6.1%,,32.0%,29.4%,21.2%,16.3%,1.1%
Worsley and Eccles,"107,000","46,000",,19.3%,9.2%,15.1%,19.9%,19.4%,17.0%,,88.9%,0.8%,4.6%,1.8%,3.3%,0.5%,0.1%,,83.4%,5.5%,4.3%,2.5%,2.4%,1.8%,,35.5%,54.5%,0.3%,0.7%,0.2%,3.7%,0.2%,0.3%,4.6%,,30.0%,32.8%,16.7%,19.7%,0.8%
Worthing West,"99,700","45,300",,15.7%,7.9%,11.3%,17.9%,20.5%,26.6%,,89.1%,0.6%,4.8%,1.6%,2.8%,0.8%,0.3%,,86.9%,5.7%,3.1%,1.1%,2.3%,0.9%,,43.6%,46.8%,0.6%,0.5%,0.3%,1.4%,0.1%,0.6%,6.0%,,40.4%,28.7%,20.0%,10.0%,0.8%
Wrexham,"99,100","42,300",,18.2%,9.3%,12.5%,19.2%,20.5%,20.3%,,90.9%,0.2%,6.0%,0.8%,1.7%,0.3%,0.1%,,89.2%,6.2%,2.0%,0.7%,1.3%,0.6%,,40.2%,50.8%,0.3%,0.3%,0.0%,1.3%,0.1%,0.4%,6.5%,,34.9%,28.3%,16.6%,19.6%,0.6%
Wycombe,"106,000","40,600",,20.9%,10.4%,14.5%,22.0%,17.9%,14.2%,,75.1%,0.6%,8.4%,2.7%,10.6%,2.4%,0.3%,,55.1%,9.7%,22.8%,5.2%,4.8%,2.3%,,30.1%,40.4%,0.6%,2.5%,0.2%,18.2%,0.9%,0.5%,6.5%,,28.2%,34.2%,21.4%,14.7%,1.5%
Wyre Forest,"102,000","45,300",,16.8%,8.4%,11.1%,17.1%,21.3%,25.3%,,95.0%,0.3%,2.7%,0.4%,1.2%,0.3%,0.1%,,92.5%,3.4%,1.9%,0.4%,1.4%,0.4%,,38.6%,53.3%,0.2%,0.1%,0.0%,1.0%,0.3%,0.5%,5.9%,,40.7%,28.0%,16.0%,14.2%,1.1%
Wythenshawe and Sale East,"112,000","46,800",,22.4%,9.1%,14.5%,21.5%,17.8%,14.7%,,83.2%,0.9%,5.7%,2.8%,6.4%,0.9%,0.2%,,73.0%,7.1%,8.3%,4.8%,4.3%,2.5%,,38.9%,47.8%,0.4%,1.7%,0.3%,5.3%,0.2%,0.4%,5.0%,,23.0%,26.6%,16.6%,32.8%,1.0%
Yeovil,"105,000","46,500",,17.1%,8.7%,12.1%,17.3%,20.5%,24.3%,,90.3%,0.3%,5.9%,0.9%,1.9%,0.6%,0.2%,,89.8%,6.0%,1.8%,0.6%,1.3%,0.5%,,39.9%,52.0%,0.3%,0.2%,0.1%,0.5%,0.0%,0.5%,6.5%,,39.2%,26.9%,17.5%,15.1%,1.2%
Ynys Mon,"68,900","30,800",,17.0%,8.4%,10.2%,15.9%,22.1%,26.4%,,96.7%,0.5%,1.4%,0.4%,0.7%,0.3%,0.1%,,96.3%,1.8%,0.6%,0.1%,0.9%,0.2%,,40.8%,51.5%,0.2%,0.1%,0.0%,0.5%,0.0%,0.4%,6.4%,,44.6%,23.6%,15.6%,15.6%,0.6%
York Central,"109,000","45,300",,14.0%,23.2%,15.4%,17.5%,16.1%,13.8%,,85.7%,0.4%,6.2%,1.1%,4.8%,1.4%,0.3%,,83.0%,7.3%,5.3%,0.9%,2.3%,1.3%,,51.1%,37.5%,0.7%,0.6%,0.1%,1.6%,0.1%,0.8%,7.4%,,27.5%,24.9%,28.0%,18.7%,0.9%
York Outer,"93,500","40,200",,16.5%,8.9%,9.6%,18.4%,21.3%,25.3%,,93.3%,0.3%,2.9%,0.8%,1.8%,0.6%,0.3%,,92.2%,3.5%,2.0%,0.4%,1.3%,0.6%,,40.4%,51.4%,0.4%,0.4%,0.1%,0.8%,0.1%,0.4%,6.2%,,47.3%,32.2%,11.1%,8.6%,0.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
